mode,stage1_precision,stage1_recall,stage1_hmean,refined_precision,refined_recall,refined_hmean,delta_hmean,trigger_rate,avg_patches_per_image,success_rate,total_selected,refine_success,match_iou,match_filter_empty,match_sum,avg_ms_per_image,stage2_avg_ms_per_patch
none,0.7884201463624624,0.7209210785278488,0.753161303587951,0.7931404072883173,0.7282031096240897,0.7592858608659963,0.006124557278045284,0.20983342289091886,2.6033333333333335,0.3393085787451985,1562,530,348,0,348,162.6774477415408,54.21409794844777
center,0.7884201463624624,0.7209210785278488,0.753161303587951,0.7930591259640103,0.7285967329265892,0.7594625089752796,0.00630120538732859,0.20983342289091886,2.6033333333333335,0.32778489116517284,1562,512,19,508,527,160.52869418791184,54.1998018384753
bbox_iou,0.7884201463624624,0.7209210785278488,0.753161303587951,0.7933547695605574,0.7283999212753395,0.7594910732608249,0.006329769672873908,0.20983342289091886,2.6033333333333335,0.33162612035851474,1562,518,5,510,515,163.12687205926827,54.907531302104886
