match_metric,refined_hmean,refined_recall,refined_precision,delta_hmean,trigger_rate,success_rate,total_selected,refine_success,weak_accept_ioa,match_iou_fail,match_ioa_fail,match_fail,match_filter_empty,avg_ms_per_image,stage2_avg_ms_per_patch,dir
iou,0.7592858608659963,0.7282031096240897,0.7931404072883173,0.006124557278045284,0.20849472418859355,0.33696348494554773,1561,526,0,0,350,0,0,234.29653651857126,80.13483802071558,/root/lanyun-tmp/mmocr/outputs/cascade_demo/run001/stepE11b_ioa_matchfilter_none/sweep600/m_iou
ioa,0.7588048054215012,0.7272190513678409,0.7932589094031773,0.005643501833550224,0.20849472418859355,0.3376040999359385,1561,527,5,0,350,0,0,213.69490544932586,72.74632899580189,/root/lanyun-tmp/mmocr/outputs/cascade_demo/run001/stepE11b_ioa_matchfilter_none/sweep600/m_ioa
iou_or_ioa,0.7592858608659963,0.7282031096240897,0.7931404072883173,0.006124557278045284,0.20849472418859355,0.33696348494554773,1561,526,0,0,350,0,0,237.8618730107943,81.53984754477652,/root/lanyun-tmp/mmocr/outputs/cascade_demo/run001/stepE11b_ioa_matchfilter_none/sweep600/m_iou_or_ioa
