name,hmean,delta_hmean,ms_per_img_refine,ms_per_patch_stage2,stage2_patches,total_selected,refine_success,success_rate,min_crop_short_edge,stage2_score_thr
cfg0_base,0.746723722920567,-0.0007699276609060002,159.92599341397485,31.301031923016115,1871,1871,203,0.10849812934259755,0.0,-1.0
cfg1_scorethr0.2,0.7463205780037463,-0.001173072577726697,163.82187406377247,32.077071449571534,1871,1871,211,0.1127739176910743,0.0,0.2
cfg4_mincrop64,0.7496331866079766,0.00213953602650363,183.4586039185524,40.095744604759524,1871,1871,328,0.17530732228754678,64.0,-1.0
cfg2_mincrop128,0.7528972958571999,0.005403645275726898,261.9184469354028,65.29325516302116,1871,1871,398,0.21272047033671834,128.0,-1.0
cfg3_both,0.7524990003998401,0.005005349818367089,287.91243670353043,76.9221975519369,1871,1871,434,0.23196151790486372,128.0,0.2
